epoch,loss,val_accuracy,"val_loss
",InceptionNetV3,,,,,
1,0.786097229,0.734375,"0.588081419467926
",0.654947937,,,,,
2,0.671667874,0.79296875,"0.49119043350219727
",0.712673604,,,,,
3,0.616796374,0.71484375,"0.6012448072433472
",0.735677063,,,,,
4,0.56653595,0.78515625,"0.5192974209785461
",0.760850668,,,,,
5,0.548639238,0.76171875,"0.5672909021377563
",0.765190959,,,,,
6,0.523505807,0.7421875,"0.4857061803340912
",0.776475668,,,,,
7,0.50085777,0.71484375,"0.5801352262496948
",0.789496541,,,,,
8,0.466707647,0.79296875,"0.5071417689323425
",0.813802063,,,,,
9,0.482881695,0.77734375,"0.4778265655040741
",0.791232646,,,,,
10,0.455324292,0.765625,"0.5349648594856262
",0.803385437,,,,,
11,0.424855828,0.80078125,"0.4503638446331024
",0.824652791,,,,,
12,0.406948358,0.77734375,"0.4648638665676117
",0.829427063,,,,,
13,0.401421547,0.67578125,"0.8537498116493225
",0.833333313,,,,,
14,0.379925907,0.796875,"0.4505677819252014
",0.83984375,,,,,
15,0.388958991,0.80859375,"0.4942379891872406
",0.841145813,,,,,
16,0.371608645,0.69140625,"0.7912569046020508
",0.857638896,,,,,
17,0.34553954,0.796875,"0.4670924246311188
",0.858940959,,,,,
18,0.339467198,0.7890625,"0.5181750655174255
",0.859375,,,,,
19,0.342593849,0.81640625,"0.4722237288951874
",0.861979187,,,,,
20,0.324917942,0.8125,"0.5017183423042297
",0.867621541,,,,,
21,0.325599492,0.78125,"0.49639758467674255
",0.873697937,,,,,
22,0.312710315,0.7890625,"0.5118407607078552
",0.872829854,,,,,
23,0.317914844,0.78125,"0.5096738934516907
",0.869791687,,,,,
24,0.320065409,0.796875,"0.5680661797523499
",0.870659709,,,,,
25,0.305465013,0.7890625,"0.4965076148509979
",0.881076396,,,,,
26,0.273183316,0.6640625,"1.0454295873641968
",0.888888896,,,,,
27,0.295758545,0.8046875,"0.5772678256034851
",0.881944418,,,,,
28,0.286996484,0.75390625,"0.618058979511261
",0.884982646,,,,,
29,0.279010624,0.765625,"0.7283324003219604
",0.886284709,,,,,
