epoch,loss,val_accuracy,"val_loss
",InceptionNetV3,,,,,
30,0.289357394,0.76171875,"0.6051003336906433
",0.885416687,,,,,
31,0.263961703,0.8125,"0.5434771776199341
",0.893229187,,,,,
32,0.276564807,0.73046875,"0.6776434183120728
",0.88671875,,,,,
33,0.269987017,0.75,"0.6428519487380981
",0.892361104,,,,,
34,0.241257876,0.77734375,"0.6247527003288269
",0.901909709,,,,,
35,0.257692218,0.8125,"0.5967833399772644
",0.897135437,,,,,
36,0.236059025,0.77734375,"0.6584343910217285
",0.905381918,,,,,
37,0.252500534,0.7890625,"0.6057852506637573
",0.898871541,,,,,
38,0.229091331,0.79296875,"0.5854273438453674
",0.912326396,,,,,
39,0.238838464,0.79296875,"0.6175891160964966
",0.904513896,,,,,
40,0.248554766,0.79296875,"0.5724425315856934
",0.8984375,,,,,
41,0.220034659,0.7578125,"0.6849513649940491
",0.915364563,,,,,
42,0.229280889,0.78125,"0.6617663502693176
",0.900607646,,,,,
43,0.243952826,0.7890625,"0.5724818706512451
",0.901909709,,,,,
44,0.229033127,0.765625,"0.7697235345840454
",0.90625,,,,,
45,0.225095749,0.76953125,"0.6327329277992249
",0.904079854,,,,,
46,0.232327878,0.6328125,"1.2335599660873413
",0.902777791,,,,,
47,0.221330106,0.7734375,"0.6362938284873962
",0.914930582,,,,,
48,0.228294075,0.79296875,"0.5971831679344177
",0.914496541,,,,,
49,0.196677744,0.78515625,"0.6585813164710999
",0.923611104,,,,,
50,0.197555929,0.796875,"0.6002978682518005
",0.922743082,,,,,
51,0.207155496,0.77734375,"0.6594149470329285
",0.9140625,,,,,
52,0.234027728,0.78515625,"0.5750086307525635
",0.907552063,,,,,
53,0.21709311,0.7421875,"0.8268563151359558
",0.912326396,,,,,
54,0.201767266,0.71484375,"1.0116490125656128
",0.924045146,,,,,
55,0.199462831,0.8046875,"0.617306649684906
",0.922743082,,,,,
56,0.197112978,0.66015625,"1.2436282634735107
",0.920138896,,,,,
57,0.216074526,0.8046875,"0.5780368447303772
",0.912326396,,,,,
58,0.204709038,0.76171875,"0.7104398608207703
",0.923611104,,,,,
59,0.183961809,0.78515625,"0.6972700953483582
",0.928819418,,,,,
60,0.178759068,0.78125,"0.68049156665802
",0.924045146,,,,,
61,0.173716277,0.7734375,"0.7280475497245789
",0.933159709,,,,,
62,0.200129539,0.7421875,"0.8061441779136658
",0.922743082,,,,,
63,0.167081371,0.765625,"0.754557728767395
",0.937065959,,,,,
64,0.18278648,0.79296875,"0.7798423171043396
",0.930555582,,,,,
65,0.181622446,0.78515625,"0.7056511044502258
",0.927083313,,,,,
66,0.189361066,0.7890625,"0.7425253391265869
",0.9296875,,,,,
67,0.205640092,0.78125,"0.6972721815109253
",0.914930582,,,,,
68,0.168144152,0.76953125,"0.7392669916152954
",0.934027791,,,,,
69,0.172856465,0.796875,"0.6423360705375671
",0.9296875,,,,,
70,0.169575259,0.78125,"0.702411413192749
",0.927951396,,,,,
71,0.171015635,0.7890625,"0.6931578516960144
",0.930989563,,,,,
72,0.178595945,0.7578125,"0.9091825485229492
",0.927951396,,,,,
73,0.186563298,0.75,"0.8857401609420776
",0.925347209,,,,,
74,0.175162479,0.78125,"0.6945644021034241
",0.93359375,,,,,
75,0.169336289,0.71875,"1.038644552230835
",0.932725668,,,,,
76,0.171794266,0.78125,"0.6794864535331726
",0.93359375,,,,,
77,0.165188238,0.76953125,"0.8137826919555664
",0.935329854,,,,,
78,0.178495973,0.72265625,"1.0362358093261719
",0.9296875,,,,,
79,0.160049975,0.71484375,"0.9343938827514648
",0.943142354,,,,,
80,0.168444693,0.81640625,"0.6799780130386353
",0.937934041,,,,,
81,0.189863622,0.81640625,"0.6221140027046204
",0.928385437,,,,,
82,0.164135426,0.78125,"0.7201305031776428
",0.938368082,,,,,
83,0.133728698,0.78125,"0.6749312877655029
",0.950954854,,,,,
84,0.183976829,0.7421875,"0.8323527574539185
",0.934027791,,,,,
85,0.162492484,0.8046875,"0.5907488465309143
",0.933159709,,,,,
86,0.192908153,0.78515625,"0.7527424693107605
",0.923177063,,,,,
87,0.147859663,0.80859375,"0.6903210282325745
",0.946180582,,,,,
88,0.169422925,0.83203125,"0.5867894887924194
",0.934027791,,,,,
89,0.175867021,0.71484375,"0.9513346552848816
",0.935329854,,,,,
90,0.14294368,0.80078125,"0.6222472786903381
",0.943142354,,,,,
91,0.149894953,0.76953125,"0.7763842940330505
",0.938802063,,,,,
92,0.167651296,0.8203125,"0.6233493089675903
",0.937065959,,,,,
93,0.165743038,0.80078125,"0.6974371671676636
",0.936197937,,,,,
94,0.174996749,0.73046875,"0.9138398766517639
",0.932291687,,,,,
95,0.156809345,0.796875,"0.7174842953681946
",0.940538168,,,,,
96,0.15007852,0.79296875,"0.6844102144241333
",0.939670146,,,,,
97,0.131962627,0.80078125,"0.7079986333847046
",0.949652791,,,,,
98,0.126596823,0.7890625,"0.7130097150802612
",0.948350668,,,,,
99,0.150800675,0.78125,"0.8478953838348389
",0.940538168,,,,,
100,0.150189519,0.78125,"0.8350209593772888
",0.939670146,,,,,
