epoch,accuracy,loss,val_accuracy,"val_loss
",,,
38,0.886974812,0.286928296,0.816666663,"0.4376220703125
",,,
39,0.897899151,0.249832079,0.766666651,"0.5272617936134338
",,,
40,0.897899151,0.252340764,0.805555582,"0.4310052990913391
",,,
41,0.893277287,0.259524077,0.800000012,"0.447155624628067
",,,
42,0.894117653,0.258218825,0.844444454,"0.4324444532394409
",,,
43,0.885294139,0.272444516,0.838888884,"0.4570281207561493
",,,
44,0.907142878,0.251871645,0.838888884,"0.45424893498420715
",,,
45,0.90336132,0.231988445,0.800000012,"0.5150166749954224
",,,
46,0.892857134,0.259712428,0.816666663,"0.5154010057449341
",,,
47,0.888235271,0.264140308,0.844444454,"0.4008053243160248
",,,
48,0.916806698,0.232653454,0.822222233,"0.418281227350235
",,,
49,0.904201686,0.235473856,0.861111104,"0.43334245681762695
",,,
50,0.908403337,0.221650422,0.838888884,"0.508327841758728
",,,
51,0.9130252,0.22367239,0.794444442,"0.6507222056388855
",,,
52,0.911764681,0.220081463,0.816666663,"0.48510950803756714
",,,
53,0.905882359,0.220302984,0.75555557,"0.6700212955474854
",,,
54,0.916386545,0.204266697,0.850000024,"0.41758227348327637
",,,
55,0.915546238,0.211057186,0.833333313,"0.48891040682792664
",,,
56,0.915966392,0.203644529,0.844444454,"0.4916735887527466
",,,
57,0.919747889,0.199083865,0.855555534,"0.4514327049255371
",,,
58,0.928991616,0.186933964,0.861111104,"0.4431212544441223
",,,
59,0.930672288,0.189268515,0.838888884,"0.45927098393440247
",,,
60,0.919327736,0.202074617,0.833333313,"0.4876842200756073
",,,
61,0.927310944,0.18821542,0.822222233,"0.4642517864704132
",,,
62,0.935294092,0.175122589,0.850000024,"0.4824299216270447
",,,
63,0.919327736,0.194315761,0.844444454,"0.42378488183021545
",,,
64,0.925210059,0.188102528,0.850000024,"0.4786818325519562
",,,
65,0.930252075,0.177214891,0.833333313,"0.3918640911579132
",,,
66,0.928571403,0.18785961,0.772222221,"0.568978488445282
",,,
67,0.931512594,0.177608669,0.861111104,"0.4109134376049042
",,,
68,0.933193266,0.173047632,0.827777803,"0.4715747535228729
",,,
69,0.927310944,0.184475049,0.833333313,"0.43507707118988037
",,,
70,0.935294092,0.170547619,0.800000012,"0.6127030253410339
",,,
71,0.93235296,0.180456027,0.877777755,"0.4592491686344147
",,,
72,0.935714304,0.169335857,0.788888872,"0.48719754815101624
",,,
73,0.93235296,0.171713755,0.827777803,"0.5345025658607483
",,,
74,0.939495802,0.156224921,0.772222221,"0.5652523636817932
",,,
75,0.939495802,0.151352242,0.76111114,"0.6489289402961731
",,,
76,0.932773113,0.167707503,0.850000024,"0.48403075337409973
",,,
77,0.939495802,0.156093046,0.838888884,"0.5195204615592957
",,,
78,0.940336108,0.168945298,0.844444454,"0.5298915505409241
",,,
79,0.929831922,0.181319252,0.811111093,"0.4871838092803955
",,,
80,0.938235283,0.164219484,0.850000024,"0.4701937735080719
",,,
81,0.929411769,0.160316736,0.861111104,"0.4189675748348236
",,,
82,0.935294092,0.15847221,0.861111104,"0.5151682496070862
",,,
83,0.935714304,0.164796367,0.833333313,"0.5282326936721802
",,,
84,0.942857146,0.141732126,0.833333313,"0.4793022572994232
",,,
85,0.939075649,0.15237774,0.850000024,"0.47279810905456543
",,,
86,0.944957972,0.145584345,0.772222221,"0.6455631852149963
",,,
87,0.93781513,0.159978524,0.811111093,"0.6928961873054504
",,,
88,0.944117665,0.142677337,0.850000024,"0.5583701133728027
",,,
89,0.938655436,0.153206781,0.855555534,"0.5698767304420471
",,,
90,0.937394977,0.163572758,0.844444454,"0.5494263768196106
",,,
91,0.942436993,0.150539696,0.855555534,"0.47772565484046936
",,,
92,0.927731097,0.172844529,0.872222245,"0.4219422936439514
",,,
93,0.943277299,0.136973292,0.866666675,"0.41587740182876587
",,,
94,0.946638644,0.139727309,0.872222245,"0.39326339960098267
",,,
95,0.952941179,0.132857546,0.833333313,"0.43902671337127686
",,,
96,0.957563043,0.117383316,0.872222245,"0.44278332591056824
",,,
97,0.944957972,0.141081527,0.822222233,"0.5154145956039429
",,,
98,0.943697453,0.143010467,0.872222245,"0.5355002284049988
",,,
99,0.943277299,0.135676354,0.861111104,"0.4400949776172638
",,,
