epoch,accuracy,loss,val_accuracy,"val_loss
",,,
0,0.636554599,0.782965541,0.649999976,"0.6346489191055298
",,,
1,0.704201698,0.674809873,0.716666639,"0.5845085382461548
",,,
2,0.737815142,0.610790551,0.75,"0.527475893497467
",,,
3,0.762184858,0.576961696,0.73888886,"0.5330532193183899
",,,
4,0.770588219,0.549886703,0.733333349,"0.5341881513595581
",,,
5,0.757563055,0.549890459,0.772222221,"0.4916779398918152
",,,
6,0.771428585,0.520204306,0.766666651,"0.5451516509056091
",,,
7,0.78319329,0.510233104,0.783333361,"0.4814578592777252
",,,
8,0.792016804,0.485527843,0.811111093,"0.4453873634338379
",,,
9,0.795798302,0.477342516,0.677777767,"0.6844480037689209
",,,
10,0.812605023,0.445757449,0.777777791,"0.45364001393318176
",,,
11,0.821428597,0.434965491,0.783333361,"0.4361853301525116
",,,
12,0.815546215,0.446471184,0.727777779,"0.6406010389328003
",,,
13,0.830252111,0.402026504,0.788888872,"0.44382548332214355
",,,
14,0.830252111,0.404605687,0.788888872,"0.5147521495819092
",,,
15,0.824789941,0.409470618,0.788888872,"0.4722531735897064
",,,
16,0.840756297,0.383642256,0.800000012,"0.4329005479812622
",,,
17,0.844117641,0.395199507,0.788888872,"0.5604530572891235
",,,
18,0.844537795,0.376690328,0.811111093,"0.4429788291454315
",,,
19,0.84663868,0.365424901,0.800000012,"0.47849738597869873
",,,
20,0.852521002,0.372641504,0.827777803,"0.4412083029747009
",,,
21,0.85084033,0.359367013,0.833333313,"0.42962393164634705
",,,
22,0.858403385,0.349290013,0.688888907,"0.703784704208374
",,,
23,0.856722713,0.347806931,0.822222233,"0.46389201283454895
",,,
24,0.868907571,0.317015588,0.783333361,"0.4588148295879364
",,,
25,0.863445401,0.331979901,0.800000012,"0.4647446572780609
",,,
26,0.876470566,0.315733284,0.75555557,"0.5695143938064575
",,,
27,0.872268915,0.312206447,0.816666663,"0.45727455615997314
",,,
28,0.876050413,0.31275323,0.766666651,"0.5496711134910583
",,,
29,0.878571451,0.304594338,0.766666651,"0.6301408410072327
",,,
30,0.885714293,0.282358646,0.711111128,"0.6135847568511963
",,,
31,0.885294139,0.290544748,0.788888872,"0.4378421902656555
",,,
32,0.87436974,0.29680568,0.816666663,"0.4256651997566223
",,,
33,0.879411757,0.274333447,0.794444442,"0.49454987049102783
",,,
34,0.881512582,0.28391251,0.827777803,"0.49995043873786926
",,,
35,0.884453773,0.278017461,0.816666663,"0.46543052792549133
",,,
36,0.886554599,0.274356544,0.844444454,"0.40390557050704956
",,,
37,0.886974812,0.285942227,0.805555582,"0.49183082580566406
",,,
